hts_8digit,description,unit,general_rate_raw,general_ad_valorem_rate,special_rate_raw,other_rate_raw,edition_label,generated_at,conflict_count_same_8digit
02012080,Other,,26.4%,0.264,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02013002,High-quality beef cuts,"[""kg""]",4%,0.04,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM, P,PA, PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02013004,Other,"[""kg""]",10%,0.1,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02013006,Other,"[""kg""]",4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02013010,High-quality beef cuts,"[""kg""]",4%,0.04,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02013030,Other,"[""kg""]",10%,0.1,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02013050,Other,,4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02013080,Other,,26.4%,0.264,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02021005,Described in general note 15 of the tariff schedule and entered pursuant to its provisions,,4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02021010,Described in additional U.S. note 3 to this chapter and entered pursuant to its provisions,,4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02021050,Other,,26.4%,0.264,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02022002,High-quality beef cuts,"[""kg""]",4%,0.04,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02022004,Other,"[""kg""]",10%,0.1,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02022006,Other,"[""kg""]",4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02022010,High-quality beef cuts,"[""kg""]",4%,0.04,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02022030,Other,"[""kg""]",10%,0.1,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02022050,Other,,4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02022080,Other,"[""kg""]",26.4%,0.264,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02023002,High-quality beef cuts,"[""kg""]",4%,0.04,"Free (A,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02023004,Other,"[""kg""]",10%,0.1,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02023006,Other,"[""kg""]",4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02023010,High-quality beef cuts,"[""kg""]",4%,0.04,"Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02023030,Other,"[""kg""]",10%,0.1,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02023050,Other,,4.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",13.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02023080,Other,"[""kg""]",26.4%,0.264,"Free (BH,CL,CO,JO,MA,OM,P,PE,S,SG) 1.7% (KR) See 9822.04.01-9822.04.03 (AU) See 9919.02.01-9919.02.02 (PA)",31.1%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02031100,Carcasses and half-carcasses,"[""kg""]",Free,0.0,,5.5¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02031210,Processed,,1.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",7.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02031290,Other,,Free,0.0,,5.5¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02031920,Processed,,1.4¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",7.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02031940,Other,,Free,0.0,,5.5¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02032100,Carcasses and half-carcasses,"[""kg""]",Free,0.0,,5.5¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02032210,Processed,"[""kg""]",1.4¢/kg,,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",7.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02032290,Other,"[""kg""]",Free,0.0,,5.5¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02032920,Processed,"[""kg""]",1.4¢/kg,,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",7.2¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02032940,Other,"[""kg""]",Free,0.0,,5.5¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02041000,"Carcasses and half-carcasses of lamb, fresh or chilled","[""kg""]",0.7¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02042100,Carcasses and half-carcasses,"[""kg""]",2.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM,P,PA,PE,S, SG)",11¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02042220,Lamb,,0.7¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02042240,Other,"[""kg""]",2.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",11¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02042320,Lamb,"[""kg""]",0.7¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02042340,Other,"[""kg""]",2.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",11¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02043000,"Carcasses and half-carcasses of lamb, frozen","[""kg""]",0.7¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02044100,Carcasses and half-carcasses,"[""kg""]",2.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",11¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02044220,Lamb,,0.7¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02044240,Other,"[""kg""]",2.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",11¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02044320,Lamb,"[""kg""]",0.7¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",15.4¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02044340,Other,"[""kg""]",2.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",11¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02045000,Meat of goats,"[""kg""]",Free,0.0,,11¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","[""kg""]",Free,0.0,,Free,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02061000,"Of bovine animals, fresh or chilled","[""kg""]",Free,0.0,,30%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02062100,Tongues,"[""kg""]",Free,0.0,,30%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02062200,Livers,"[""kg""]",Free,0.0,,30%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02062900,Other,"[""kg""]",Free,0.0,,30%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02063000,"Of swine, fresh or chilled","[""kg""]",Free,0.0,,30%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02064100,Livers,"[""kg""]",Free,0.0,,30%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02064900,Other,"[""kg""]",Free,0.0,,30%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02068000,"Other, fresh or chilled","[""kg""]",Free,0.0,,30%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02069000,"Other, frozen",,Free,0.0,,30%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02071100,"Not cut in pieces, fresh or chilled",,8.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02071200,"Not cut in pieces, frozen",,8.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02071300,"Cuts and offal, fresh or chilled","[""kg""]",17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02071400,"Cuts and offal, frozen",,17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02072400,"Not cut in pieces, fresh or chilled","[""kg""]",15¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02072520,Valued less than 88¢/kg,"[""kg""]",8.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02072540,Valued 88¢ or more per kg,"[""kg""]",10%,0.1,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02072600,"Cuts and offal, fresh or chilled","[""kg""]",17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02072700,"Cuts and offal, frozen",,17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02074100,"Not cut in pieces, fresh or chilled","[""kg""]",8.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02074200,"Not cut in pieces, frozen","[""kg""]",8.8¢/kg,,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02074300,"Fatty livers, fresh or chilled","[""kg""]",17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02074400,"Other, fresh or chilled","[""kg""]",17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02074500,"Other, frozen",,17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02075100,"Not cut in pieces, fresh or chilled","[""kg""]",8.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02075200,"Not cut in pieces, frozen","[""kg""]",8.8¢/kg,,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02075300,"Fatty livers, fresh or chilled","[""kg""]",17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02075400,"Other, fresh or chilled","[""kg""]",17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02075500,"Other, frozen",,17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02076010,"Not cut in pieces, fresh or chilled","[""kg""]",8.8¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02076020,"Not cut in pieces, frozen","[""kg""]",8.8¢/kg,,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02076030,"Fatty livers, fresh or chilled","[""kg""]",17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02076040,"Other, fresh or chilled","[""kg""]",17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02076060,"Other, frozen",,17.6¢/kg,,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",22¢/kg,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02081000,Of rabbits or hares,"[""kg""]",6.4%,0.064,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02083000,Of primates,"[""kg""]",6.4%,0.064,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
02084001,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia).","[""kg""]",6.4%,0.064,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",20%,HTS 2025 Basic Edition,2026-01-08T03:59:22Z,0
